claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0076.jpg_claim_14,documerica_0076.jpg,0,0,0,0,,
documerica_0069.jpg_claim_16,documerica_0069.jpg,9,1,0,8,1.0,100.0
documerica_0063.jpg_claim_7,documerica_0063.jpg,5,3,0,2,1.0,100.0
documerica_0085.jpg_claim_3,documerica_0085.jpg,2,0,0,2,,
documerica_0091.jpg_claim_1,documerica_0091.jpg,4,0,0,4,,
documerica_0015.jpg_claim_6,documerica_0015.jpg,3,0,0,3,,
documerica_0047.jpg_claim_5,documerica_0047.jpg,5,2,0,3,1.0,100.0
documerica_0024.jpg_claim_25,documerica_0024.jpg,0,0,0,0,,
documerica_0032.jpg_claim_21,documerica_0032.jpg,4,0,0,4,,
documerica_0093.jpg_claim_6,documerica_0093.jpg,5,1,0,4,1.0,100.0
documerica_0018.jpg_claim_11,documerica_0018.jpg,0,0,0,0,,
documerica_0005.jpg_claim_14,documerica_0005.jpg,6,2,0,4,1.0,100.0
documerica_0075.jpg_claim_2,documerica_0075.jpg,1,0,0,1,,
documerica_0007.jpg_claim_5,documerica_0007.jpg,0,0,0,0,,
documerica_0006.jpg_claim_16,documerica_0006.jpg,2,0,0,2,,
documerica_0031.jpg_claim_5,documerica_0031.jpg,0,0,0,0,,
documerica_0094.jpg_claim_11,documerica_0094.jpg,0,0,0,0,,
documerica_0015.jpg_claim_13,documerica_0015.jpg,5,0,0,5,,
documerica_0074.jpg_claim_12,documerica_0074.jpg,0,0,0,0,,
documerica_0021.jpg_claim_19,documerica_0021.jpg,0,0,0,0,,
documerica_0096.jpg_claim_9,documerica_0096.jpg,2,0,0,2,,
documerica_0073.jpg_claim_12,documerica_0073.jpg,3,3,0,0,1.0,100.0
documerica_0026.jpg_claim_20,documerica_0026.jpg,8,0,0,8,,
documerica_0071.jpg_claim_7,documerica_0071.jpg,7,0,0,7,,
documerica_0057.jpg_claim_20,documerica_0057.jpg,3,1,0,2,1.0,100.0
documerica_0028.jpg_claim_3,documerica_0028.jpg,0,0,0,0,,
documerica_0064.jpg_claim_10,documerica_0064.jpg,0,0,0,0,,
documerica_0068.jpg_claim_13,documerica_0068.jpg,6,0,0,6,,
documerica_0042.jpg_claim_20,documerica_0042.jpg,0,0,0,0,,
documerica_0005.jpg_claim_12,documerica_0005.jpg,4,1,0,3,1.0,100.0
